1e+29,1.1487127074670974e+21,1.4885349030352148e+26
1.0235853640757253e+29,1.1937024935454473e+21,1.5236423696043956e+26
1.0477269975500351e+29,1.240607549164532e+21,1.559577850390287e+26
1.0724380202392194e+29,1.2879057152365387e+21,1.5963591189589947e+26
1.0977318613952112e+29,1.3357302323713642e+21,1.6340062117973573e+26
1.123622267003741e+29,1.3855154866050069e+21,1.6725410523419382e+26
1.1501233072546162e+29,1.4373474686508637e+21,1.7119845702038703e+26
1.1772493841881937e+29,1.491316093939142e+21,1.7523581882165796e+26
1.2050152395221956e+29,1.5475153818394008e+21,1.7936838338699387e+26
1.233435962663124e+29,1.6060436608749803e+21,1.8359839518221172e+26
1.2625269989066265e+29,1.6670037556914516e+21,1.8792815154250967e+26
1.2923041578312721e+29,1.7305032019537604e+21,1.923600039391705e+26
1.3227836218902962e+29,1.7966544693610086e+21,1.9689635926548817e+26
1.3539819552059853e+29,1.8655751859205088e+21,2.015396811156119e+26
1.3859161125714812e+29,1.937388381963962e+21,2.0629249112989065e+26
1.4186034486648935e+29,2.01222274583608e+21,2.1115737037264457e+26
1.4520617274807345e+29,2.090212886908159e+21,2.1613696072816236e+26
1.4863091319837943e+29,2.171499612643731e+21,2.212339663468993e+26
1.521364273990707e+29,2.2562302206202206e+21,2.264511550419976e+26
1.5572462042845795e+29,2.3445588011104057e+21,2.3179135986418254e+26
1.5939744229681727e+29,2.43664655629261e+21,2.3725748061060208e+26
1.6315688900612708e+29,2.5326621247483633e+21,2.4285248534570443e+26
1.670050036347993e+29,2.6327819534453755e+21,2.4857941213066656e+26
1.7094387744799393e+29,2.7371906506366344e+21,2.5444137059759288e+26
1.74975651034121e+29,2.846081364915616e+21,2.604415436101544e+26
1.7910251546814784e+29,2.9596561909726467e+21,2.6658318902343175e+26
1.8332671350234234e+29,3.078126590155529e+21,2.7286964145943125e+26
1.8765054078510125e+29,3.201713830802644e+21,2.793043140019622e+26
1.920763471085246e+29,3.33064944973759e+21,2.858907001775293e+26
1.9660653768541453e+29,3.465175735404993e+21,2.9263237579902285e+26
2.0124357445639286e+29,3.6055462868747205e+21,2.9953300087465293e+26
2.0598997742784726e+29,3.752026407119343e+21,3.065963216576007e+26
2.1084832604143345e+29,3.9048937564357877e+21,3.138261726240509e+26
2.1582126057587788e+29,4.0644389366043593e+21,3.212264785467924e+26
2.2091148358184197e+29,4.230966050003325e+21,3.288012566294874e+26
2.261217613506283e+29,4.4047933494419857e+21,3.365546186792402e+26
2.314549254175272e+29,4.586254060741208e+21,3.444907733206593e+26
2.369138741006194e+29,4.775696870331162e+21,3.5261402828636956e+26
2.4250157407587312e+29,4.973486737679013e+21,3.609287927415274e+26
2.4822106198938903e+29,5.161859846672932e+21,3.694427883413547e+26
2.540754461076719e+29,5.354033332026417e+21,3.7815836788024044e+26
2.6006790800682366e+29,5.554100670464438e+21,3.8707960952210456e+26
2.6620170430157693e+29,5.762408469553718e+21,3.9621136875002844e+26
2.7248016841510817e+29,5.975845788496068e+21,4.0555923002125194e+26
2.789067123905934e+29,6.191604180749201e+21,4.151288446991618e+26
2.854848287454891e+29,6.416022051209962e+21,4.2492436995906095e+26
2.9221809236954762e+29,6.649474057427118e+21,4.349511438988775e+26
2.991101624675974e+29,6.892351827047805e+21,4.452146309907171e+26
3.06164784548145e+29,7.145064714083296e+21,4.5572042503833944e+26
3.13385792458879e+29,7.40804071481404e+21,4.664742523805135e+26
